text,time
도쿄올림픽 관람하지 말자 필요한 응원만,5년 전
일본꺼는 먹지도 입지도 사지도 맙시다 드럽고 아니꼽다능!!?,5년 전
아직도 사는 사람들이  많구나!   사고 안사고는 자유지만  최소한 자존심은 지킵시다,5년 전(수정됨)
근데 유니클로포함 일본브랜드 매장 문닫으면 실업자도 그만큼 늘어남 ㅅㄱ,5년 전
"롯데,이마트,홈플러스 GS이것들은 매대에서 다꽝 제품을 좋은 위치에 여전히 팔아 쳐먹고 있네...손해는 보기 싫다 이거지...최소한의 대한민국 기업으로서의 존심도, 역할도 눈치나 쳐보면서 욕만 안먹게 조용히 넘어가면 된다는거지...",5년 전
CU편의점에 아직도 일본맥주가 2줄씩 전시되어있는거보고 깜놀했어요... 편의점이 불매동참 안허나보네요,5년 전
일본 여자친구 두신분들은 요즘 어떻게들 지내시는지 궁금합니다,5년 전
우리나라 일본전이면 스포츠건 모든 상황에서 정신력으로 버티지,5년 전
"유니클로 알바들아 미안하다,  탑텐으로 갈아타라 너희도",5년 전
"그만좀해라 진짜 미친거아냐
댓글 수준이 완전 빨갱이
난 쌀 배급받으며 미사일 싸대는 빨갱이되는거 보단
일본꺼 쓸련다 
나라가 망해야 이것들이 사라지지
하나는 알고 둘은 모른다는게 이것들 얘기
진짜 이나라가 완전히 ㅈ됫다",5년 전(수정됨)
난 아사히 끝어따 그냥 소주 먹는다 소주는 써 ㅎㅎ,5년 전
오늘중요한 비즈니스 갔다가 초밥에다가 사케 한잔했는데  먹다가  체 할뻔봤습니다. 마음이 편안하지 않나봅니다.더욱놀란건 초밥집에 왜이리 사람들이 많은지.ㅎㅎ,5년 전
"아베,나베 만만세~역설법
정권에서 굴욕적인 협상 함 지금처럼 당합니다.
경상도 제발 투표 좀 잘해 주이소",5년 전
유니클로 매장 앞만 지나가도 불편함. 웬지 근처에도 가면 안될것 같은 느낌,5년 전
"이번에 밀리면 답 없다
계속 일본 속국처럼 살아야된다
영원히 일본불매운동 가자!",5년 전
휘청같은 소리하네 ㅋㅋㅋㄱㅋㅋㅋ 어휴,5년 전
"반일에 반대하는 분들도 많을텐데~  반대편의 사람들의 목소리는 없고 항상 반일의 뉴스만 나오는게 이상하지 않은가?? 
개인간의 다툼에도 쌍방간의 의견을 듣는게 옳은데~~ 한쪽 의견만 듣고 결론이 나는 듯...지금 이사회가 정상인가??",5년 전
1위에서 7위로 떨어졌으면 확실히 효과는 있었네.... 이대로 내년 올림픽까지 쭉 갑시다!,5년 전
그나저나 장기화되면 우리나라 중소기업들 고생이 많겠어요..마음으로나마 응원합니다.대기업들도 우리나라 중소기업들 에 힘좀싫어주는 행보를 보여주시길..대기업중심의 체질에서 중소기업들도 성장할수있는 체질개선이 필요하다고 생각합니다.,5년 전
지금 jtbc골프 라이브로 lpga브리티시오픈 골프 파이널중계중입니다 일본선수가 42년만에 첫 메이저우승 도전이라 일본이 흥분되어있다네요 우리의 박성현 고진영 맹추격중입니다..한일전 응원해주세요~어차피 우승은 대한민국!!!,5년 전
"우리나라에서 유니끌로 아사히 맥주가 안팔린다고해서 그회사들이 망하는게 아닙니다. 그러나 일본의 수출규제는 우리나라의 중추적산업을 무너뜨릴것입니다. 이런식으로 반일감정을 일으켜 경제전쟁을 해보자는 식으로 간다면, 취약한 우리가 먼저 넉아웃 될것입니다. 좌파들의 반일선동으로 우리나라만 거덜납니다.문재인 정부의 반일정책을 수정해야 합니다.미국 일본이라는 경제우방을 멀리하면서 친중 친북정책으로는 망하는길로 갈수밖에 없습니다. 제발 생각이 깨어나시길~~~",5년 전
방사능맥주 사먹는게 미친년이지,5년 전(수정됨)
GU라는 브랜드도 일본업체랍니다. 유니클로 동생뻘이라고.,5년 전(수정됨)
벌써 한달.사는동안에는 최대한 일제  불매  할겁니다.사랑합니다.대한민국♡♡♡,5년 전
"아직도 30%밖에 매출이 안준거야?
대체 질기게 사는 인간들은 왜구야?",5년 전
머...유니클로가 우리나라에서만 판매하는것도 아니고... 아사히가 우리나라에서만 판매하는것도 아니고.. 급락하던만던.... 꺼지라고...한국에서...,5년 전
꼼데가르송은 불매안하는 이상한현상 ㅋㅋㅋㅋ 꼼데는 오늘도 매장에 사람많던데,5년 전
상식적인 인간이라면 다떠나서 방사능 맥주가 목으로 넘어가냐,5년 전
ㅋ ㅋ ㅋ우리동네 유니클로 빠졌습니다  통쾌합니다,5년 전
Cj 햇반 미강유 일본 후쿠시마산이랍니다 이거 진짜 중요한건데 다들 몰라서 올려드려요,5년 전
"옷가계, 맥주회사....불매운동전에도 입지말았어야지...",5년 전
"대한민국도 카메라 회사를 만들어야
정부 지원으로 캠 카메라 만들어라
카메라도 일제보다 많이 발전해",5년 전
"개인적으로 좌파든 우파든 
개인유튜브채널에서 말하는 정치이야기는 
너무 맹신하지 않았으면 좋겠음.
유튜브에서 의견을 듣는건 좋은데 너무 한쪽으로 치우쳐서 맹신하는건 아니라고봄. 우파가 맞을때도 있고 좌파가 맞을때도 있는거지 틀린걸 알면서도 우파 좌파라는 이유로 서로 자기들이 맞다 그러면 평생 답이 안나올거라고봄.",5년 전
불매운동도 불매지만 간지나는둥 이딴소리 안쓰게 가르쳐라 아주 뿌리깊게 박혓다.,5년 전
"일본 -> 수출규제 수정
한국 -> 불매운동 

서로 바라는대로 win-win이네요?!",5년 전
사케는 잘 팔릴겁니다.,5년 전
