text,time
25:46 질문 수준ㅋㅋ;; 하니 해맑게 인사 하다가 질문 듣고 정색한 거 보고 같이 정색함...,6개월 전
이젠 조용하려나.,6개월 전
긴급뉴스로 우리가 알아야 할 필요 있나?그냥 조용히 떠나 관심 없어,6개월 전
faded flubby old jeans,6개월 전
아니 이건 너무 막무가내 아님? ㅋㅋㅋ 민희진이 조종하는건 100퍼인데 아니라고 하면 아닌게 되나. 대중들 상대로 거짓말을 왜이리 당당하게 하는건지,6개월 전
말하는 게 너무 추상적이다  .,6개월 전
가처분 소송도 안 하겠다. 그냥 말로만 띡 하면 끝나는 거야. 완전 동덕여대 ㅋㅋㅋㅋㅋ,6개월 전
하이브의 입맛대로 바꾸는 게 당연한 거 아닌가 이걸 입맛대로 바꾼다고 표현을 해 하는 게 맞는지 모르겠네 ..ㅋㅋㅋㅋㅋㅋ,6개월 전
나이 60 넘어 가니까 의리 보다는 현실이 먼저,6개월 전
"제발 나이 좀 먹었다고 걱정하는 척 훈수를 가장한 비아냥은 멈추길

저 애들이 우리보다 더 잘안다 이 싸움이 승산이 없고 언제 끝날지 모르는 지루한 전쟁이 될거라는걸

52억 운운하는데 쟤네들도 그동안 이뤄온거 돈이든 뭐든 그거 다 잃을 각오하고 옳은 방향을 향해서 무섭지만 용기있게 나아가는 거 아닌가?

그 결정에 대해서 응원은 해주지 못할 망정 바보아니냐고 현실에 순응하라고 비아냥거리는 사람들은 그냥 관심꺼주길

당신들은 그냥 살던데로 불의에 순응하고 무시당해도 참고 권력에 벌벌떨면서 사세요 영원히",6개월 전
뉴진스 사랑해 응원해🙏💙🤍,6개월 전
ㄹㅇ힙합😂🎉,6개월 전
"망할 거 같은데 마인드가 초딩들이라..
하이브가 제대로 칼도 안 뽑았는데 초딩같은 말만 계속 하는데 
진짜 어른의 방식으로 칼 뽑으면 망할거 같은데?
사회를 이런식으로 비싸게 배우는 것도 나쁘지 않다 너무 나대서 별로였다",6개월 전
Are u saying BTS is only big cuz hybe? And why lsf still not good even in hybe? They are BSH favorite group. Or illit? They also under hybe. Why they aren’t big as nwjns?,6개월 전
그걸 부정할려고 하지 모든 사람들은 다아는데,6개월 전
팩트는 걸그룹 못해서 민희진 데려왔죠. 하이브가 그렇게 대단하면 르세라핌이 이꼴이 안났겠지. 데뷔때부터 잡탕느낌 나더라니 에스파랑 비교하면 거의 삼류임,6개월 전
삼프티들도  이거때문에 진건데 ㅋㅋㅋㅋㅋㅋㅋ,6개월 전
"논리적으로 반박을 할 수 없으니
정색을 하지 ㅋㅋㅋㅋ 하이브랑 어도어가 무슨 계약위반을 했는데 ? ㅋㅋㅋㅋㅋ 진짜 꼴통들이네 어떻게 되나 지켜보자 진짜",6개월 전
"근데 왜 보러 왔냐 ?
무관심이라며 ?",6개월 전
 @레전드리-r7e  흠 긴급뉴스로 진동울려서 밨지  바로 껐어,6개월 전
"@이상운-s6k  근데 당신들은 뉴진스가 계약해지 한다는데 왜 화가 났나요 ? 엄청 엄청 화나서 댓글들이 죽여버리고 싶다.
까지 있었어요 !!
그건 왜 그런가요 ?",6개월 전
"니 말이 맞으려면 일단 불의가 있어야 하는데,, 불의가 어딨니???
다 자기 계산과 이익을 위해 싸우는 거지
다만 뉴는 자기가 아니라 민을 위해 싸우는 꼴이라 말리는 거지",6개월 전
 @eunsookcho9643  하이브의 만행이나 찾아보고와서 개소릴 하세요 ㅋㅋ 하유스윗 뮤비 쳐막은걸 내가 실시간으로 경험했는데 여기저기 똥댓글 달고다니시네,6개월 전
"제발 나이 좀 먹었다고 걱정하는 척 훈수를 가장한 비아냥은 멈추길

저 애들이 우리보다 더 잘안다 이 싸움이 승산이 없고 언제 끝날지 모르는 지루한 전쟁이 될거라는걸

52억 운운하는데 쟤네들도 그동안 이뤄온거 돈이든 뭐든 그거 다 잃을 각오하고 옳은 방향을 향해서 무섭지만 용기있게 나아가는 거 아닌가?

그 결정에 대해서 응원은 해주지 못할 망정 바보아니냐고 현실에 순응하라고 비아냥거리는 사람들은 그냥 관심꺼주길

당신들은 그냥 살던데로 불의에 순응하고 무시당해도 참고 권력에 벌벌떨면서 사세요 영원히",6개월 전
" @서으녕  다 잃을 각오??ㅋㅋㅋ 인터뷰 안본거냐??
위약금도 안낼거야 우리가 왜 냄??  활동도 계속 할거야 광고도 계속 할거야 ㅋㅋ
뉴진스란 이름도 나중에 찾을거야..ㅋㅋㅋㅋ
이 논리인데 뭔 얘기함?? 낼인지 오늘인지 일본 간다는데 일본은 대체 누가 서브해주면서 활동함??ㅋㅋ",6개월 전(수정됨)
Free newjeans,6개월 전
애초에 그냥 신생 소기업으로 자영업자마냥 민희진이 사업벌여서 시작했어야 했다본다 BTS기업에서 시작할게 아니라 시작부터 잘못된거였음,6개월 전
뉴진스는 네버다이❤,6개월 전
